,,,,,,,,,,,,,,,"150,0.333,450.00",,,,,"101.25,0.225,450.00",,,,,,,,,"450.00,1.000,450.00",,,,,,,,,,"0.00,P,450.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Data 1,,,,Data 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Decimal,Binary,MSB 4,LSB  4,Decimal,Binary,MSB 4,LSB 4,,,,,,,,,,,,,,,,,
,,,243,243,,,,,73,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,244,4,,,,,90,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,5,,,,,11,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,6,,,,,12,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,7,,,,,13,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,248,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,73,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,90,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
