Time [s],Packet ID,MOSI,MISO,Actual Value
0.0483790000,0,0xE0,,7
0.0486255000,0,0xDA,,2
0.0489150000,0,0x60,,1
0.0491630000,0,0xFD,,0.
0.0494535000,0,0x00,,
0.0496975000,0,0x00,,
0.0499905000,0,0xFE,,8
0.0502770000,0,0xE7,,9.
0.0505695000,0,0xF2,,3
0.0508185000,0,0x00,,
0.0511035000,0,0x00,,
0.0513505000,0,0x00,,
0.0515720000,0,0x20,,
0.0519485000,1,0x10,,
0.0523825000,2,0x3F,,
0.0526380000,2,0xCF,,
0.0529260000,2,0x06,,
0.0531755000,2,0x4F,,
0.0534160000,2,0x44,,
0.0536455000,2,0x17,,
0.0539550000,3,0x11,,
0.0543115000,4,0x3F,,
0.0545665000,4,0xCF,,
0.0548545000,4,0x06,,
0.0551035000,4,0x4F,,
0.0553440000,4,0x44,,
0.0555730000,4,0x17,,
0.0558820000,5,0x12,,
0.0562065000,6,0x3F,,
0.0564620000,6,0xCF,,
0.0567500000,6,0x06,,
0.0570000000,6,0x4F,,
0.0574425000,6,0x44,,
0.0576715000,6,0x17,,
0.0579810000,7,0x13,,
0.0583395000,8,0x3F,,
0.0585945000,8,0xCF,,
0.0588825000,8,0x06,,
0.0591320000,8,0x4F,,
0.0593725000,8,0x44,,
0.0596020000,8,0x17,,
0.0599110000,9,0x14,,
0.0602360000,10,0x3F,,
0.0604910000,10,0xCF,,
0.0608120000,10,0x06,,
0.0610615000,10,0x4F,,
0.0612690000,10,0x44,,
0.0614980000,10,0x17,,
0.0618400000,11,0x15,,
0.0621660000,12,0x3F,,
0.0625005000,12,0xCF,,
0.0628205000,12,0x06,,
0.0630705000,12,0x4F,,
0.0633105000,12,0x44,,
0.0635080000,12,0x17,,
0.0638495000,13,0x00,,
0.0641710000,14,0x3F,,
0.0644270000,14,0xBF,,
0.0647165000,14,0x3F,,
0.0649690000,14,0x3F,,
0.0652090000,14,0x04,,
0.0654370000,14,0x07,,
0.0657455000,15,0x01,,
0.0661010000,16,0x3F,,
0.0663560000,16,0xBF,,
0.0666455000,16,0x3F,,
0.0668975000,16,0x3F,,
0.0671380000,16,0x04,,
0.0675350000,16,0x07,,
0.0678755000,17,0x02,,
0.0681985000,18,0x3F,,
0.0684535000,18,0xBF,,
0.0687435000,18,0x3F,,
0.0689955000,18,0x3F,,
0.0692360000,18,0x04,,
0.0694635000,18,0x07,,
0.0697725000,19,0x03,,
0.0701290000,20,0x3F,,
0.0703845000,20,0xBF,,
0.0706740000,20,0x3F,,
0.0709260000,20,0x3F,,
0.0711660000,20,0x04,,
0.0713940000,20,0x07,,
0.0717020000,21,0x04,,
0.0720250000,22,0x3F,,
0.0723905000,22,0xBF,,
0.0726800000,22,0x3F,,
0.0729320000,22,0x3F,,
0.0731725000,22,0x04,,
0.0734000000,22,0x07,,
0.0736955000,23,0x05,,
0.0739195000,23,0xA0,,
0.0741780000,24,0xFF,,
0.0744220000,25,0xFF,,
0.0747120000,25,0xFF,,
0.1727880000,25,0xE0,,7
0.1730340000,25,0xDA,,2
0.1733555000,25,0x60,,1
0.1736030000,25,0xFD,,0.
0.1738940000,25,0x00,,
0.1741380000,25,0x00,,
0.1744300000,25,0xFE,,8
0.1746840000,25,0xE7,,9.
0.1749765000,25,0xF2,,3
0.1752250000,25,0x00,,
0.1755100000,25,0x00,,
0.1757575000,25,0x00,,
0.1759790000,25,0x20,,
0.1763880000,26,0x10,,
0.1767110000,27,0x3F,,
0.1769665000,27,0xCF,,
0.1772550000,27,0x06,,
0.1777065000,27,0x4F,,
0.1779465000,27,0x44,,
0.1781760000,27,0x17,,
0.1784855000,28,0x11,,
0.1788100000,29,0x3F,,
0.1790655000,29,0xCF,,
0.1793860000,29,0x06,,
0.1796360000,29,0x4F,,
0.1798760000,29,0x44,,
0.1800735000,29,0x17,,
0.1804150000,30,0x12,,
0.1807400000,31,0x3F,,
0.1809950000,31,0xCF,,
0.1812830000,31,0x06,,
0.1815330000,31,0x4F,,
0.1817730000,31,0x44,,
0.1820025000,31,0x17,,
0.1824240000,32,0x13,,
0.1827500000,33,0x3F,,
0.1830050000,33,0xCF,,
0.1832935000,33,0x06,,
0.1835430000,33,0x4F,,
0.1837835000,33,0x44,,
0.1840130000,33,0x17,,
0.1843225000,34,0x14,,
0.1846790000,35,0x3F,,
0.1849340000,35,0xCF,,
0.1852225000,35,0x06,,
0.1854720000,35,0x4F,,
0.1857120000,35,0x44,,
0.1859415000,35,0x17,,
0.1862505000,36,0x15,,
0.1865770000,37,0x3F,,
0.1868325000,37,0xCF,,
0.1871525000,37,0x06,,
0.1875715000,37,0x4F,,
0.1878115000,37,0x44,,
0.1880410000,37,0x17,,
0.1883510000,38,0x00,,
0.1887050000,39,0x3F,,
0.1889600000,39,0xBF,,
0.1892495000,39,0x3F,,
0.1895020000,39,0x3F,,
0.1897420000,39,0x04,,
0.1899700000,39,0x07,,
0.1902785000,40,0x01,,
0.1906015000,41,0x3F,,
0.1908570000,41,0xBF,,
0.1911795000,41,0x3F,,
0.1914310000,41,0x3F,,
0.1916710000,41,0x04,,
0.1918985000,41,0x07,,
0.1922065000,42,0x02,,
0.1926065000,43,0x3F,,
0.1928620000,43,0xBF,,
0.1931845000,43,0x3F,,
0.1934365000,43,0x3F,,
0.1936765000,43,0x04,,
0.1939035000,43,0x07,,
0.1942115000,44,0x03,,
0.1945365000,45,0x3F,,
0.1947915000,45,0xBF,,
0.1950815000,45,0x3F,,
0.1953335000,45,0x3F,,
0.1955740000,45,0x04,,
0.1958020000,45,0x07,,
0.1961105000,46,0x04,,
